NM_001277361	PCGF5
NM_205003	HSPA8
NM_001278017	SETD5
NM_205417	TNNI2
NM_001030841	TAF3
NM_001030862	RPRD1B
NM_204175	POU2AF1
NM_001287193	LRRK2
NM_001277803	FHIT
NM_001277804	FHIT
NM_001277802	FHIT
NM_001277907	ALYREF
NM_204984	PXN
NM_001291971	SIRT7
NM_001001467	TOB1
NM_001031471	SUDS3
NM_205512	CD3D
NM_001006294	NELFCD
NM_205381	CCND1
NM_205070	LDB1
NM_204250	KCNIP2
NM_001007829	SNAPC5
NM_204828	RLIM
NM_001199444	SLC26A3
NM_204264	SUFU
NM_001037176	MORF4L1
NM_001037173	MORF4L1
NM_001039267	EWSR1
NM_001080884	TESC
NM_001006517	ORC2
NM_001031235	TAF5
NM_001007087	BLM
NM_001031033	XRN2
NM_001305101	SFR1
NM_001305100	SFR1
NM_001199647	PHF21A
NM_204862	TENM1
NM_204588	XIAP
NM_001006202	NELFB
NM_001199657	INO80
NM_204304	PDCD4
NM_001012319	BIRC5
NM_001012318	BIRC5
NM_204235	BIRC5
NM_001199401	POLR3F
NM_001031036	C1D
NM_001244737	C1D
NM_001012872	PELI1
NM_001030733	ING3
NM_001031038	LBH
NM_204163	PSEN1
NM_204639	DPF3
NM_205174	SKIL
NM_001277561	TAF1A
NM_205319	FGFR2
NM_204207	HAT1
NM_001007850	YAF2
NM_001030737	PPHLN1
NM_001305257	PPHLN1
NM_205518	ACTB
NM_204645	CENPF
NM_001277571	SMYD2
NM_001199384	MDM2
NM_001277568	MED8
NM_001197245	EAPP
NM_001079757	SNX6
NM_001012808	CNOT2
NM_001277452	RALGAPA1
NM_001277451	RALGAPA1
NM_001277447	RALGAPA1
NM_001277454	RALGAPA1
NM_001277453	RALGAPA1
NM_001007935	BRMS1L
NM_001349722	FBXW7
NM_001293232	KANK1
NM_205139	SMARCA2
NM_001031207	GTF2A1
NM_001198907	DPY30
NM_204564	SSBP3
NM_001030981	HDAC9
NM_204643	CBX3
NM_001031209	CCNK
NM_205103	TBP
NM_001031143	HNRNPD
NM_205350	BTG1
NM_001031259	RNF25
NM_001006521	CNOT9
NM_001006364	CNOT10
NM_001006523	ERCC3
NM_001277535	SIVA1
NM_001006525	EAF2
NM_001199411	HIPK3
NM_001012813	ATF7IP
NM_205244	CCNA2
NM_204927	XRCC6
NM_001277376	PHF5A
NM_001012534	TOB2
NM_001006238	L3MBTL2
NM_001199250	RBX1
NM_001044692	DACT1
NM_001098853	TBPL2
NM_001006240	TAB1
NM_205344	HMOX1
NM_001278048	FBP1
NM_204705	HABP4
NM_204245	CRY1
NM_001012560	DEK
NR_075081	SIRT5
NM_001276364	SIRT5
NM_001130739	CECR2
NM_001006247	STRAP
NM_001031005	RPRD1A
NM_001031363	MED24
NM_001006565	ANKRA2
NM_001031010	GMNN
NM_001276384	TDP2
NM_001006454	CNOT7
NM_001097535	GTF2H5
NM_204236	OPTN
NM_204885	EZR
NM_206844	CITED2
NM_204754	TXLNB
NM_001031370	SUV39H2
NM_001278107	NUDT5
NM_001278106	NUDT5
NM_001278105	NUDT5
